Mussel,Finfish,Kelp ,Halibut ,Viewshed_max,Benthic ,Disease 
5.84E+07,2.06E+07,0,946.34,3860.3,0.63747,3.67E-11
5.79E+07,2.22E+07,0,1156.3,4472.1,0.66024,3.67E-11
5.61E+07,0,0,1109.9,4625.2,0,0
5.86E+07,2.03E+07,0,994.87,3347.3,0.63278,3.67E-11
5.83E+07,2.20E+07,0,1174.5,4010.1,0.66286,3.67E-11
5.74E+07,0,0,1154.8,4137.1,0,0
5.84E+07,2.12E+07,0,997.35,2421.4,0.63031,3.67E-11
5.88E+07,2.18E+07,0,1173.9,3389.8,0.66037,3.67E-11
5.79E+07,0,0,1159.4,3810.2,0,0
5.87E+07,2.16E+07,0,1158.6,2308.6,0.65552,1.32E-10
5.83E+07,0,0,1165.3,3315.7,0,0
5.70E+07,0,0,1125.4,3432.2,0,0
5.87E+07,2.06E+07,0,1105.9,1553.4,0.63688,1.32E-10
5.87E+07,0,0,1149.6,2161.1,0,0
5.78E+07,0,0,1094.7,3136.1,0,0
5.89E+07,2.09E+07,0,1034.2,164.56,0.64366,1.32E-10
5.89E+07,2.02E+07,0,1121.8,1440.8,0.66723,1.32E-10
5.85E+07,0,0,1072.5,1975.5,0,0
5.93E+07,2.00E+07,0,1087.3,49.153,0.66119,1.32E-10
5.91E+07,0,0,1046,910.36,0,0
6.02E+07,1.97E+07,0,1048.1,0,0.65831,1.32E-10
6.00E+07,0,0,1011,0,0,0
5.96E+07,0,0,879.73,343.29,0,0
6.17E+07,1.94E+07,0,1001.5,0,0.65364,1.32E-10
6.12E+07,0,0,975.86,0,0,0
6.05E+07,0,0,787.89,0,0,0
6.35E+07,1.93E+07,0,960.59,0,0.65446,4.19E-10
6.27E+07,1.85E+07,0,924.42,0,0.67802,4.19E-10
6.20E+07,0,0,703.15,0,0,0
0,4.28E+06,0,0,1.0324,0.67303,4.03E-09
0,1.19E+07,0,0,0.51621,0.60515,4.03E-09
6.40E+07,1.82E+07,0,862.87,0,0.67941,4.19E-10
6.32E+07,0,0,617.21,0,0,0
0,1.10E+07,0,0,1.0324,0.63249,5.30E-10
0,1.15E+07,0,0,0.51621,0.64388,5.30E-10
0,1.18E+07,0,0,0.51621,0.65047,5.30E-10
5.45E+07,1.19E+07,0,0,0.51621,0.66313,5.30E-10
5.43E+07,1.23E+07,0,0,0.51621,0.68134,5.30E-10
5.45E+07,1.37E+07,0,0,0.51621,0.70486,5.30E-10
0,1.25E+07,0,0,1.0324,0.62515,4.03E-09
0,1.06E+07,0,0,5.5289,0.61038,4.03E-09
6.40E+07,0,0,513.63,0,0,0
0,9.00E+06,0,0.42011,0,0.62836,1.54E-10
0,9.62E+06,0,0,0,0.63737,1.54E-10
0,1.02E+07,0,0,1.0324,0.65129,5.30E-10
5.29E+07,1.05E+07,0,0,1.0324,0.66873,5.30E-10
5.31E+07,1.10E+07,0,0,1.0324,0.68723,5.30E-10
5.36E+07,1.11E+07,0,0,1.0324,0.69573,5.30E-10
5.38E+07,1.14E+07,0,0,0.51621,0.70644,5.30E-10
5.40E+07,1.26E+07,0,0,0.51621,0.72336,5.30E-10
0,1.11E+07,0,0,17.47,0.61785,3.46E-08
0,1.51E+07,0,0,26.83,0.64155,3.46E-08
0,1.65E+07,0,0,38.621,0.66568,3.46E-08
5.54E+07,1.68E+07,0,710.01,54.535,0.65087,1.28E-09
5.54E+07,0,0,361.36,17.215,0,0
6.33E+07,1.76E+07,0,700.22,348.21,0.62721,1.28E-09
6.33E+07,1.73E+07,0,702.76,313.98,0.65301,1.28E-09
6.33E+07,0,0,333.21,238.56,0,0
6.30E+07,0,0,7.0526,138.86,0,0
0,5.31E+06,0,0,1.0324,0.58011,7.61E-11
0,4.39E+06,0,0,2.581,0.59386,7.61E-11
0,2.06E+07,0,0,264.84,0.7226,1.20E-07
0,2.07E+07,0,0,533.92,0.71738,1.20E-07
6.25E+07,1.92E+07,0,478.25,791.38,0.60249,4.13E-09
6.17E+07,1.82E+07,0,699.29,856.3,0.62577,1.28E-09
6.31E+07,1.80E+07,0,706.04,778.17,0.65506,1.28E-09
6.28E+07,0,0,285.54,636.91,0,0
6.05E+07,2.82E+06,0,0,2.581,0.63486,7.61E-11
0,2.08E+07,0,0,37.103,0.72394,1.20E-07
0,2.09E+07,0,0,201.38,0.71898,1.20E-07
6.21E+07,1.96E+07,0,473.33,1431.9,0.60016,4.13E-09
5.25E+07,1.86E+07,0,704.08,1516.8,0.62427,4.13E-09
6.26E+07,1.87E+07,0,706.86,1449.5,0.65618,4.13E-09
6.26E+07,0,0,347.23,1290.1,0,0
6.00E+07,2.95E+06,0,0,5.1621,0.6465,8.09E-10
6.04E+07,2.10E+07,0,0,5.1485,0.73939,1.20E-07
0,2.11E+07,0,0,46.948,0.72095,1.20E-07
5.15E+07,1.91E+07,0,669.66,1981.1,0.62002,4.13E-09
6.22E+07,1.91E+07,0,759.06,1866,0.65131,4.13E-09
6.19E+07,0,0,443.88,1718.7,0,0
5.93E+07,9.97E+05,0,0,3.6134,0.63749,8.09E-10
5.24E+07,2.12E+07,0,0,1.0324,0.7538,1.20E-07
6.19E+07,1.93E+07,0,602.68,2242.1,0.61271,4.13E-09
6.17E+07,1.97E+07,0,785.64,2117.8,0.64692,4.13E-09
6.12E+07,0,0,539.6,1966.6,0,0
5.18E+07,5.52E+05,0,9.333,0.51621,0.64029,8.09E-10
6.17E+07,1.78E+07,0,577.85,2727.6,0.66886,4.13E-09
6.15E+07,1.99E+07,0,775.19,2637.1,0.63869,4.13E-09
6.07E+07,0,0,663.76,2482.4,0,0
